case_id,project_type,state,district,land_area_acres,affected_families,affected_parcels,project_complexity,historical_performance_score,compensation_completion_pct,approval_completion_pct,documentation_completion_pct,possession_pct,rehabilitation_progress_pct,stakeholder_response_rate,legal_disputes_count,disputed_parcels_count,pending_approvals_count,incomplete_documents_count,unresolved_grievances_count,administrative_bottlenecks_score,field_verification_delay_days,planned_duration_months,elapsed_duration_months,avg_approval_time_days,avg_verification_time_days,avg_stakeholder_response_days,route_affected_parcel_count,route_land_area_acres,route_affected_households,route_complexity_score,route_legal_dispute_exposure,estimated_acquisition_cost_cr,delayed,actual_delay_months,actual_delay_days
CASE-001857,Ring Road / Bypass,Kerala,Thiruvananthapuram,366.1,837,628,1,67.7,73.8,82.5,61.7,56.4,52.5,74.4,9,13,2,192,1,28.3,33.0,36.0,15.3,43.2,21.3,10.2,628,366.1,837,1.0,2.1,4830.3,0,0.0,0
CASE-001858,Expressway / Highway,Maharashtra,Aurangabad,320.0,778,468,2,66.8,41.8,77.3,56.3,40.4,40.4,64.8,15,23,3,164,5,48.5,46.0,30.0,24.7,64.6,39.7,23.9,468,320.0,778,1.7,4.9,2726.0,0,0.0,0
CASE-001859,Port Connectivity,Andhra Pradesh,Guntur,296.2,454,260,4,45.5,68.4,74.0,45.0,60.2,40.2,70.1,16,16,5,114,6,35.6,53.2,30.0,25.2,52.0,35.9,27.8,260,296.2,454,4.3,6.2,2857.1,1,3.4,102
CASE-001860,Freight Corridor,Telangana,Warangal,182.1,145,149,3,66.2,37.3,59.2,31.8,30.9,33.4,53.0,19,21,7,81,8,79.2,84.0,24.0,14.2,55.1,45.7,24.8,149,182.1,145,2.8,14.1,911.3,1,9.9,297
CASE-001861,Ring Road / Bypass,Kerala,Kozhikode,223.0,189,203,2,67.5,79.3,73.5,87.1,69.5,53.4,79.7,11,18,4,21,3,53.3,45.5,18.0,10.4,39.2,13.3,12.3,203,223.0,189,2.5,8.9,1259.9,0,0.0,0
CASE-001862,Ring Road / Bypass,Telangana,Medchal,296.1,704,475,2,69.0,38.3,65.1,45.7,34.6,37.3,61.1,21,36,6,206,9,57.9,58.9,30.0,13.9,70.0,18.1,21.8,475,296.1,704,2.2,7.6,4162.6,1,7.1,213
CASE-001863,Expressway / Highway,Tamil Nadu,Madurai,323.2,315,223,2,55.5,53.4,58.1,49.3,44.3,56.4,57.2,15,18,7,90,4,57.4,42.1,24.0,11.3,51.7,35.7,23.5,223,323.2,315,2.4,8.1,1763.4,0,0.0,0
CASE-001864,Expressway / Highway,Maharashtra,Nashik,319.5,492,429,4,62.0,58.3,63.1,48.0,58.4,48.1,65.0,11,17,6,178,2,62.7,55.9,30.0,8.2,44.4,35.2,31.2,429,319.5,492,4.1,4.0,3479.3,1,1.5,45
CASE-001865,Expressway / Highway,Gujarat,Vadodara,173.7,393,232,3,68.1,63.3,77.2,85.4,70.9,61.7,88.8,7,12,2,27,5,16.2,23.9,30.0,10.1,43.8,24.2,25.2,232,173.7,393,3.3,5.2,863.4,0,0.0,0
CASE-001866,Freight Corridor,Gujarat,Surat,166.1,462,344,3,76.3,53.8,39.5,51.2,41.0,25.3,76.1,14,14,9,134,6,55.3,67.5,24.0,10.0,64.5,38.0,36.1,344,166.1,462,2.9,4.1,2328.5,0,0.0,0
CASE-001867,Freight Corridor,Tamil Nadu,Tiruchirappalli,190.8,221,227,3,41.3,46.3,46.0,38.6,44.2,40.1,50.7,14,17,6,112,4,44.3,81.5,36.0,10.5,71.2,39.7,24.0,227,190.8,221,3.5,7.5,1775.0,1,5.0,150
CASE-001868,Port Connectivity,Tamil Nadu,Salem,159.5,387,325,1,98.0,66.1,88.4,75.6,64.3,63.4,79.5,11,18,3,63,6,35.3,39.9,42.0,27.3,47.3,19.6,19.1,325,159.5,387,1.0,5.5,1926.2,0,0.0,0
CASE-001869,Expressway / Highway,Tamil Nadu,Tiruchirappalli,148.0,393,234,1,84.1,97.7,80.2,77.6,87.3,96.1,82.2,0,0,2,42,2,13.0,5.3,36.0,25.2,14.4,17.1,14.6,234,148.0,393,1.0,0.0,1067.5,0,0.0,0
CASE-001870,High-Speed Rail Feeder,Telangana,Sangareddy,236.4,237,289,3,64.6,90.6,100.0,79.8,76.1,84.7,100.0,1,2,1,47,0,14.2,16.0,18.0,13.4,10.0,22.4,20.4,289,236.4,237,3.4,0.7,2914.0,0,0.0,0
CASE-001871,Expressway / Highway,Kerala,Kozhikode,177.1,418,255,2,69.3,84.8,70.7,83.1,83.9,99.3,81.2,7,12,5,34,2,21.7,29.6,48.0,33.6,21.2,29.5,14.5,255,177.1,418,2.1,4.7,1660.4,0,0.0,0
CASE-001872,Freight Corridor,Tamil Nadu,Salem,213.7,280,160,2,45.1,94.0,65.5,84.3,80.3,85.9,99.8,5,5,5,20,3,7.5,29.5,24.0,15.3,44.7,26.1,15.9,160,213.7,280,1.9,3.1,2754.7,0,0.0,0
CASE-001873,Expressway / Highway,Maharashtra,Pune,449.2,1060,909,2,61.0,46.6,70.0,52.7,51.3,54.6,71.3,8,10,5,300,10,40.1,44.5,24.0,15.1,63.5,32.2,26.9,909,449.2,1060,1.8,1.1,2708.8,0,0.0,0
CASE-001874,Ring Road / Bypass,Andhra Pradesh,Vijayawada,264.2,461,425,4,69.6,69.1,74.1,71.0,76.6,66.3,87.3,12,14,4,99,8,45.6,32.2,24.0,16.5,48.2,27.3,29.0,425,264.2,461,4.5,3.3,2558.2,0,0.0,0
CASE-001875,Port Connectivity,Kerala,Ernakulam,168.4,211,218,1,63.0,96.0,99.7,100.0,89.2,85.7,83.2,4,5,1,0,1,5.0,11.8,18.0,15.1,37.9,15.8,9.7,218,168.4,211,1.4,2.3,1286.4,0,0.0,0
CASE-001876,High-Speed Rail Feeder,Maharashtra,Aurangabad,265.4,411,489,3,54.1,61.0,84.2,43.9,49.4,43.1,72.5,20,27,2,219,7,44.9,57.5,24.0,3.8,58.3,39.0,31.2,489,265.4,411,3.4,5.5,1549.2,0,0.0,0
CASE-001877,Freight Corridor,Telangana,Warangal,313.8,577,391,4,57.8,53.6,67.9,54.0,63.7,68.1,97.5,15,18,5,144,1,41.3,43.7,42.0,31.1,39.8,34.9,27.7,391,313.8,577,4.1,4.6,2405.4,0,0.0,0
CASE-001878,Expressway / Highway,Maharashtra,Aurangabad,215.1,280,288,2,67.7,63.5,88.3,78.3,56.0,66.7,81.0,9,16,1,50,2,29.8,22.9,24.0,14.1,37.0,24.4,16.0,288,215.1,280,1.7,5.6,1426.9,0,0.0,0
CASE-001879,Port Connectivity,Karnataka,Bengaluru Rural,326.8,707,417,2,56.9,56.0,75.3,49.8,56.0,56.0,70.0,20,22,5,167,13,54.9,55.0,30.0,11.9,64.9,36.1,37.6,417,326.8,707,2.4,5.3,2809.8,0,0.0,0
CASE-001880,Port Connectivity,Maharashtra,Aurangabad,323.3,890,709,4,59.9,20.5,24.7,0.0,11.4,7.5,28.5,30,49,11,300,7,82.8,145.0,30.0,10.5,97.6,49.7,43.2,709,323.3,890,4.4,6.9,3670.0,1,15.6,468
CASE-001881,High-Speed Rail Feeder,Telangana,Medchal,128.7,418,236,3,65.9,89.3,88.9,70.3,87.2,77.2,72.4,5,9,2,56,2,35.5,54.1,30.0,8.6,30.1,14.0,20.4,236,128.7,418,2.8,3.8,680.7,0,0.0,0
CASE-001882,Expressway / Highway,Andhra Pradesh,Vijayawada,205.2,762,428,4,48.7,37.2,50.9,29.3,27.3,33.6,28.3,18,24,5,242,5,84.0,75.6,24.0,20.3,87.7,46.1,39.1,428,205.2,762,4.1,5.6,2899.0,1,4.1,123
CASE-001883,Port Connectivity,Telangana,Rangareddy,157.7,304,190,2,51.8,58.3,79.9,62.4,55.0,58.4,88.2,9,13,1,57,3,53.6,38.6,18.0,15.1,40.2,30.7,23.8,190,157.7,304,1.5,6.8,1599.2,0,0.0,0
CASE-001884,Expressway / Highway,Kerala,Thiruvananthapuram,315.6,542,437,5,56.7,49.6,63.3,51.7,46.7,46.0,91.9,10,17,3,169,6,38.9,42.9,36.0,10.0,28.5,25.7,28.8,437,315.6,542,5.0,3.9,4458.1,0,0.0,0
CASE-001885,Freight Corridor,Tamil Nadu,Coimbatore,241.0,280,222,2,64.4,56.5,67.6,60.4,58.9,60.3,49.5,19,21,6,70,2,32.7,48.8,24.0,13.8,42.6,33.0,31.6,222,241.0,280,2.2,9.5,3346.3,0,0.0,0
CASE-001886,Expressway / Highway,Maharashtra,Nagpur,291.3,315,180,5,47.2,35.2,45.9,33.7,35.3,33.1,44.9,21,23,6,95,5,66.0,66.9,18.0,9.2,78.0,50.3,23.5,180,291.3,315,4.7,12.8,2917.5,1,4.4,132
CASE-001887,Ring Road / Bypass,Tamil Nadu,Salem,553.3,770,504,5,57.9,11.3,92.4,43.1,13.9,10.8,53.9,20,21,1,229,9,68.0,76.3,24.0,18.7,100.0,36.6,36.3,504,553.3,770,4.7,4.2,2729.7,1,5.5,165
CASE-001888,Ring Road / Bypass,Tamil Nadu,Tiruchirappalli,327.5,820,683,3,67.5,31.5,72.1,53.2,41.6,62.7,65.1,12,20,4,256,4,55.0,65.0,42.0,35.1,54.4,32.9,23.2,683,327.5,820,3.0,2.9,4008.5,0,0.0,0
CASE-001889,Expressway / Highway,Telangana,Medchal,226.9,502,302,3,51.0,46.9,71.6,53.4,56.9,64.6,68.6,13,15,3,113,4,35.0,42.9,48.0,27.7,56.5,19.9,23.6,302,226.9,502,3.2,5.0,3129.8,0,0.0,0
CASE-001890,Freight Corridor,Gujarat,Ahmedabad,224.5,195,182,4,54.7,45.0,89.9,47.8,39.2,26.9,75.7,16,22,3,76,9,61.1,51.8,48.0,33.0,79.7,38.7,26.6,182,224.5,195,4.2,12.1,2935.9,1,2.3,69
CASE-001891,Freight Corridor,Tamil Nadu,Krishnagiri,182.2,419,241,2,65.9,53.2,68.4,58.2,53.6,64.9,81.0,11,14,4,81,3,36.3,40.1,36.0,24.2,58.2,21.4,29.1,241,182.2,419,1.5,5.8,2124.7,0,0.0,0
CASE-001892,Expressway / Highway,Karnataka,Dakshina Kannada,420.9,819,786,3,76.0,51.4,58.0,44.1,41.1,43.3,71.5,19,34,6,300,8,52.2,61.1,18.0,9.8,73.2,32.0,23.6,786,420.9,819,2.5,4.3,2194.5,0,0.0,0
CASE-001893,Expressway / Highway,Kerala,Kozhikode,496.1,1065,695,5,58.7,25.5,43.6,20.2,13.9,11.6,43.6,20,33,7,300,4,87.5,87.2,24.0,5.3,76.7,31.8,38.0,695,496.1,1065,5.0,4.7,3897.3,1,9.8,294
CASE-001894,Freight Corridor,Tamil Nadu,Krishnagiri,161.2,489,338,1,74.3,79.2,91.6,100.0,73.1,84.0,86.5,1,2,1,0,1,11.2,7.6,30.0,24.3,17.3,28.4,10.2,338,161.2,489,1.0,0.6,1632.3,0,0.0,0
CASE-001895,Port Connectivity,Maharashtra,Nagpur,479.2,1353,976,5,44.1,17.4,62.1,15.2,4.4,0.0,26.2,29,50,8,300,8,81.7,95.2,30.0,11.6,87.6,53.4,40.1,976,479.2,1353,4.9,5.1,6761.5,1,8.1,243
CASE-001896,Freight Corridor,Kerala,Kozhikode,228.4,393,310,4,79.2,81.5,90.5,78.7,71.2,70.5,54.9,5,6,1,53,3,36.5,49.2,24.0,15.1,53.5,32.5,15.6,310,228.4,393,3.5,1.9,1831.4,0,0.0,0
CASE-001897,Freight Corridor,Telangana,Warangal,324.1,322,237,4,46.0,45.5,66.0,57.1,34.6,30.9,56.8,27,33,5,81,6,86.6,76.2,24.0,18.9,78.7,40.0,37.6,237,324.1,322,4.0,13.9,4435.0,1,6.4,192
CASE-001898,High-Speed Rail Feeder,Tamil Nadu,Madurai,122.8,316,212,1,75.4,100.0,86.8,77.9,97.8,77.2,95.7,2,3,2,37,2,26.1,7.1,24.0,11.2,29.1,21.1,12.2,212,122.8,316,1.0,1.4,1160.8,0,0.0,0
CASE-001899,Expressway / Highway,Karnataka,Belagavi,242.0,406,283,2,65.1,13.4,26.7,20.0,4.3,10.4,49.9,20,24,12,181,7,73.8,81.0,18.0,7.5,52.8,48.2,43.8,283,242.0,406,2.5,8.5,1259.3,1,8.1,243
CASE-001900,Port Connectivity,Kerala,Thrissur,358.2,716,665,5,49.8,33.4,49.1,21.1,30.4,27.4,59.8,24,36,8,300,5,71.8,78.7,24.0,5.3,58.5,29.9,31.8,665,358.2,716,4.7,5.4,2025.5,1,10.6,318
CASE-001901,Freight Corridor,Maharashtra,Nashik,239.1,281,262,2,57.9,51.4,76.3,81.4,41.5,38.0,67.9,12,19,4,39,7,44.3,49.8,18.0,9.3,63.0,38.8,28.0,262,239.1,281,2.3,7.3,1564.8,0,0.0,0
CASE-001902,High-Speed Rail Feeder,Tamil Nadu,Tiruchirappalli,383.7,627,433,3,67.6,74.6,75.0,72.5,70.6,80.1,91.2,6,8,4,95,2,34.4,38.4,18.0,2.8,41.1,15.4,10.3,433,383.7,627,2.9,1.8,4982.9,0,0.0,0
CASE-001903,Freight Corridor,Kerala,Kozhikode,254.8,356,374,4,47.3,72.9,91.9,84.0,58.0,55.6,75.1,3,5,1,48,7,31.2,48.2,42.0,24.7,53.4,38.8,17.0,374,254.8,356,3.8,1.3,2238.6,0,0.0,0
CASE-001904,Port Connectivity,Tamil Nadu,Krishnagiri,252.4,286,161,2,59.9,64.0,55.1,49.9,52.2,40.4,49.3,20,21,10,65,3,59.9,83.2,36.0,28.0,79.5,46.8,28.4,161,252.4,286,1.6,13.0,3141.7,1,1.6,48
CASE-001905,Expressway / Highway,Kerala,Palakkad,340.3,489,297,3,45.9,26.0,57.2,35.0,26.4,28.7,60.4,19,25,8,154,6,87.4,86.3,30.0,8.7,88.0,48.7,32.8,297,340.3,489,3.4,8.4,3064.9,1,8.1,243
CASE-001906,High-Speed Rail Feeder,Tamil Nadu,Madurai,120.3,296,236,1,62.9,61.3,63.5,49.9,60.4,57.5,69.6,9,14,3,95,5,37.4,41.9,30.0,20.9,52.3,34.7,20.1,236,120.3,296,1.0,5.9,1233.8,0,0.0,0
CASE-001907,Freight Corridor,Gujarat,Ahmedabad,257.1,726,548,3,68.1,41.2,75.4,39.9,41.4,45.5,74.1,18,26,3,263,2,73.2,54.7,24.0,19.0,76.2,40.2,23.5,548,257.1,726,3.2,4.7,2809.0,1,5.5,165
CASE-001908,Ring Road / Bypass,Karnataka,Tumakuru,207.9,218,189,2,65.3,100.0,76.9,100.0,98.6,100.0,100.0,2,3,0,0,1,27.6,4.7,24.0,5.3,36.3,19.1,11.4,189,207.9,218,1.6,1.6,1988.6,0,0.0,0
CASE-001909,Expressway / Highway,Karnataka,Tumakuru,446.0,780,819,3,46.8,37.4,12.9,56.6,40.3,26.7,65.8,9,13,14,284,5,78.8,70.5,48.0,24.7,87.1,46.8,23.7,819,446.0,780,3.5,1.6,4384.8,1,4.6,138
CASE-001910,High-Speed Rail Feeder,Tamil Nadu,Tiruchirappalli,334.7,363,261,4,57.4,30.3,53.7,30.4,17.2,24.4,53.9,20,26,7,145,7,64.8,87.6,30.0,11.5,82.6,37.8,32.3,261,334.7,363,4.1,10.0,3171.8,1,7.4,222
CASE-001911,Ring Road / Bypass,Karnataka,Tumakuru,93.6,227,127,2,89.9,66.5,82.7,40.1,48.7,40.5,83.4,16,20,3,61,6,53.4,54.3,30.0,22.6,52.1,42.5,29.7,127,93.6,227,2.3,15.7,822.3,0,0.0,0
CASE-001912,Expressway / Highway,Andhra Pradesh,Nellore,246.0,335,348,3,44.6,84.5,87.1,79.6,77.8,64.0,75.6,13,18,2,57,2,44.0,46.2,36.0,8.1,42.3,24.2,23.3,348,246.0,335,2.5,5.2,3251.5,0,0.0,0
CASE-001913,Expressway / Highway,Gujarat,Ahmedabad,256.6,514,385,3,63.5,57.2,57.2,85.8,70.4,47.7,97.9,7,9,5,44,0,27.5,46.6,42.0,13.6,29.6,24.5,28.9,385,256.6,514,3.2,2.3,1814.3,0,0.0,0
CASE-001914,Freight Corridor,Karnataka,Mysuru,283.8,588,334,2,75.9,93.8,95.7,100.0,93.5,94.7,100.0,7,10,2,0,2,31.2,6.2,42.0,23.0,30.6,23.8,14.1,334,283.8,588,2.4,3.0,3987.7,0,0.0,0
CASE-001915,Expressway / Highway,Maharashtra,Nagpur,281.6,989,555,3,45.7,74.9,56.7,52.1,70.8,58.9,65.4,23,30,8,213,12,45.0,57.0,42.0,29.0,54.3,35.2,20.6,555,281.6,989,3.0,5.4,3492.3,1,1.6,48
CASE-001916,Freight Corridor,Telangana,Sangareddy,353.6,494,384,4,51.8,51.3,62.8,33.4,55.5,49.4,60.6,12,14,6,205,5,64.7,83.1,18.0,4.8,42.7,51.3,24.9,384,353.6,494,4.3,3.6,3525.1,1,2.5,75
CASE-001917,High-Speed Rail Feeder,Andhra Pradesh,Guntur,245.7,295,338,5,68.7,27.8,79.5,44.4,17.6,35.7,46.4,15,23,5,150,6,79.5,79.3,30.0,22.3,69.9,58.8,31.3,338,245.7,295,5.0,6.8,1718.5,1,4.5,135
CASE-001918,Ring Road / Bypass,Telangana,Rangareddy,88.5,85,81,1,56.1,72.9,74.7,75.8,68.9,75.0,69.7,8,9,3,16,1,43.9,22.6,24.0,12.3,32.8,14.8,16.8,81,88.5,85,1.5,11.1,592.5,0,0.0,0
CASE-001919,High-Speed Rail Feeder,Karnataka,Mysuru,223.6,510,339,4,65.6,27.0,49.3,11.7,28.5,19.2,49.8,22,39,9,239,4,68.7,74.7,24.0,15.8,67.0,48.9,31.7,339,223.6,510,3.6,11.5,2610.6,1,6.3,189
CASE-001920,Freight Corridor,Karnataka,Belagavi,344.6,274,315,3,69.5,98.9,96.9,99.7,98.6,82.3,95.2,0,0,1,1,2,16.8,4.4,18.0,8.1,10.0,19.4,4.0,315,344.6,274,3.4,0.0,1818.5,0,0.0,0
CASE-001921,Port Connectivity,Telangana,Medchal,485.3,689,479,5,46.0,41.2,63.3,23.3,36.4,34.3,53.0,18,32,6,294,5,75.6,73.8,30.0,12.9,68.1,49.1,37.4,479,485.3,689,5.0,6.7,4300.7,1,6.3,189
CASE-001922,Freight Corridor,Tamil Nadu,Tiruchirappalli,111.7,181,145,1,67.1,100.0,91.7,76.8,97.8,87.5,100.0,3,4,0,27,1,19.8,17.6,30.0,4.7,49.9,16.9,9.7,145,111.7,181,1.4,2.8,805.1,0,0.0,0
CASE-001923,Freight Corridor,Telangana,Sangareddy,229.6,235,240,4,85.1,63.9,64.3,53.6,61.6,53.4,74.9,11,12,4,89,3,42.4,45.0,24.0,5.5,65.0,26.2,28.2,240,229.6,235,3.6,5.0,1254.7,0,0.0,0
CASE-001924,Ring Road / Bypass,Karnataka,Bengaluru Rural,534.1,319,355,5,48.6,67.0,66.3,63.6,66.8,67.0,78.6,11,20,4,103,6,47.4,69.7,36.0,29.0,55.2,25.6,23.7,355,534.1,319,5.0,5.6,7360.3,0,0.0,0
CASE-001925,Freight Corridor,Kerala,Kozhikode,298.3,829,559,5,71.2,4.0,44.2,40.3,17.0,4.2,57.5,23,26,6,267,6,70.0,85.8,24.0,13.6,86.7,52.0,30.9,559,298.3,829,5.0,4.7,2410.1,1,8.0,240
CASE-001926,High-Speed Rail Feeder,Tamil Nadu,Chennai,439.5,820,840,3,69.1,35.6,78.3,73.0,29.9,30.5,78.7,8,12,4,181,2,68.7,107.4,24.0,15.2,63.5,32.0,17.3,840,439.5,820,3.0,1.4,3227.7,0,0.0,0
CASE-001927,Freight Corridor,Maharashtra,Aurangabad,118.9,321,243,2,65.1,47.3,50.3,58.7,51.2,41.4,78.5,16,16,5,80,4,40.8,44.0,42.0,24.7,68.8,53.0,25.9,243,118.9,321,2.1,6.6,653.9,1,3.5,105
CASE-001928,Port Connectivity,Maharashtra,Aurangabad,285.7,800,619,3,64.3,90.2,61.9,76.5,86.1,86.8,71.1,2,3,7,116,4,21.1,23.4,30.0,8.3,35.6,14.8,18.5,619,285.7,800,3.4,0.5,3776.1,0,0.0,0
CASE-001929,Ring Road / Bypass,Telangana,Rangareddy,243.5,280,190,2,75.9,97.8,96.6,79.1,94.5,77.7,58.6,4,6,2,32,7,30.9,50.4,30.0,12.7,37.4,17.9,20.9,190,243.5,280,2.3,3.2,1269.5,0,0.0,0
CASE-001930,Freight Corridor,Tamil Nadu,Madurai,361.6,463,376,3,53.4,38.4,74.8,42.5,47.5,34.0,73.5,12,15,5,173,8,70.1,64.4,36.0,15.4,51.9,25.9,28.5,376,361.6,463,2.6,4.0,1775.4,1,2.0,60
CASE-001931,Freight Corridor,Maharashtra,Thane,339.5,937,546,3,60.7,12.9,68.6,49.4,13.2,16.0,45.7,11,12,5,221,9,76.5,72.6,36.0,23.5,97.6,42.1,24.1,546,339.5,937,2.5,2.2,2622.6,1,1.1,33
CASE-001932,Freight Corridor,Maharashtra,Nagpur,155.4,514,311,2,35.6,75.7,56.2,60.1,59.9,49.3,50.6,11,18,5,99,4,56.9,92.8,30.0,21.0,65.0,40.4,24.7,311,155.4,514,2.0,5.8,1409.5,0,0.0,0
CASE-001933,Expressway / Highway,Maharashtra,Nagpur,160.9,223,138,2,88.9,100.0,72.4,84.3,90.4,93.4,100.0,2,2,0,17,2,5.0,3.2,24.0,16.7,10.0,14.1,10.2,138,160.9,223,2.5,1.4,1674.7,0,0.0,0
CASE-001934,Port Connectivity,Telangana,Medchal,212.5,315,292,1,65.2,79.6,97.1,88.6,76.4,57.8,96.6,2,3,0,27,0,5.0,22.6,24.0,12.8,15.6,21.4,4.0,292,212.5,315,1.0,1.0,2154.1,0,0.0,0
CASE-001935,Elevated Expressway,Telangana,Medchal,196.9,760,426,2,72.3,52.6,93.8,41.5,49.1,55.1,73.1,10,17,2,199,6,47.9,163.1,18.0,14.7,52.6,31.6,35.7,426,196.9,760,1.6,4.0,1636.0,0,0.0,0
CASE-001936,Expressway / Highway,Kerala,Kozhikode,331.2,495,374,3,69.8,33.6,77.2,34.0,28.1,19.3,47.7,19,26,1,197,10,60.2,69.7,24.0,17.6,67.7,34.0,23.8,374,331.2,495,2.9,7.0,3698.2,1,7.0,210
CASE-001937,High-Speed Rail Feeder,Karnataka,Tumakuru,174.9,430,242,2,66.6,96.6,90.8,84.0,100.0,87.7,88.7,4,5,0,31,1,24.2,43.7,24.0,12.7,37.3,8.2,7.1,242,174.9,430,1.9,2.1,1551.5,0,0.0,0
CASE-001938,Expressway / Highway,Kerala,Ernakulam,190.9,535,326,4,52.2,27.1,52.6,32.5,16.8,21.9,58.6,21,22,6,176,9,75.7,80.2,30.0,18.1,75.4,46.2,26.3,326,190.9,535,4.5,6.7,2005.1,1,5.4,162
CASE-001939,Ring Road / Bypass,Maharashtra,Thane,241.6,513,308,3,46.7,65.3,70.5,70.9,63.4,64.4,56.1,10,12,3,72,4,54.5,59.9,18.0,3.0,41.1,32.3,22.4,308,241.6,513,3.4,3.9,3141.2,0,0.0,0
CASE-001940,Freight Corridor,Tamil Nadu,Krishnagiri,378.0,995,661,4,41.3,47.4,51.1,26.6,42.7,36.5,30.6,15,21,8,300,3,77.1,82.1,36.0,12.7,96.3,42.6,40.2,661,378.0,995,3.6,3.2,5185.8,1,6.1,183
CASE-001941,Expressway / Highway,Tamil Nadu,Krishnagiri,218.6,178,183,2,53.6,64.0,66.7,40.0,54.3,54.8,61.6,21,36,6,88,6,68.8,54.1,18.0,7.3,70.9,30.7,30.6,183,218.6,178,1.7,19.7,2758.2,1,1.7,51
CASE-001942,Expressway / Highway,Karnataka,Tumakuru,260.2,443,252,4,62.9,49.3,62.2,32.0,38.1,33.2,79.1,14,22,5,137,7,79.4,72.1,30.0,21.2,67.4,36.1,22.7,252,260.2,443,4.0,8.7,2830.2,0,0.0,0
CASE-001943,Freight Corridor,Kerala,Palakkad,347.5,509,424,5,64.9,69.1,58.5,54.5,61.0,58.0,82.2,11,17,4,154,4,58.7,65.4,36.0,20.0,64.9,32.1,27.3,424,347.5,509,5.0,4.0,1661.8,0,0.0,0
CASE-001944,Expressway / Highway,Telangana,Rangareddy,364.2,1381,792,3,57.4,80.6,84.0,96.9,77.1,81.5,94.1,4,5,2,20,1,40.6,28.8,36.0,13.2,45.3,23.5,4.0,792,364.2,1381,2.7,0.6,2853.9,0,0.0,0
CASE-001945,Expressway / Highway,Kerala,Thiruvananthapuram,134.3,262,156,2,64.8,81.9,100.0,81.3,77.1,81.7,78.7,6,10,0,23,1,27.7,17.5,30.0,20.4,42.8,20.0,12.3,156,134.3,262,2.1,6.4,809.8,0,0.0,0
CASE-001946,Expressway / Highway,Maharashtra,Nagpur,186.0,623,384,3,60.5,66.1,74.4,66.0,63.6,62.5,70.4,9,15,3,104,4,58.7,35.0,24.0,12.6,57.9,21.7,21.5,384,186.0,623,2.7,3.9,2215.5,0,0.0,0
CASE-001947,Expressway / Highway,Maharashtra,Pune,234.0,378,468,3,51.7,38.7,68.9,19.1,26.3,30.7,42.4,20,24,6,300,6,53.9,81.9,18.0,6.0,82.7,34.9,26.7,468,234.0,378,2.9,5.1,1531.0,1,7.3,219
CASE-001948,Expressway / Highway,Tamil Nadu,Tiruchirappalli,125.6,312,227,2,71.7,65.0,82.0,82.8,63.1,56.8,80.3,8,11,4,31,3,18.5,48.9,18.0,12.7,31.7,22.3,21.9,227,125.6,312,2.0,4.8,933.0,0,0.0,0
CASE-001949,Ring Road / Bypass,Karnataka,Bengaluru Rural,267.1,333,319,5,65.4,56.7,53.8,55.9,60.3,57.4,55.0,15,17,6,113,5,52.0,49.1,24.0,9.0,63.9,40.4,35.3,319,267.1,333,5.0,5.3,2190.8,0,0.0,0
CASE-001950,Port Connectivity,Maharashtra,Thane,261.2,496,295,3,29.1,52.2,60.9,32.0,44.3,37.1,59.3,13,18,7,160,9,64.8,60.7,24.0,5.6,49.8,33.5,26.2,295,261.2,496,2.6,6.1,2199.3,0,0.0,0
CASE-001951,Expressway / Highway,Tamil Nadu,Chennai,278.0,677,451,4,72.7,40.8,38.4,29.9,21.8,19.9,35.3,22,38,7,253,8,67.6,78.0,30.0,14.0,59.6,53.2,36.3,451,278.0,677,4.4,8.4,1828.2,1,9.1,273
CASE-001952,Expressway / Highway,Tamil Nadu,Chennai,220.2,310,214,3,52.9,54.5,70.9,62.6,53.0,48.2,60.6,12,18,3,64,6,25.2,52.4,18.0,10.5,66.5,32.1,21.4,214,220.2,310,2.6,8.4,2513.7,0,0.0,0
CASE-001953,Port Connectivity,Telangana,Sangareddy,303.2,609,357,2,76.4,33.5,48.5,38.5,38.3,34.0,51.9,22,24,8,176,4,73.2,79.7,24.0,18.6,82.4,34.8,35.0,357,303.2,609,1.6,6.7,2483.4,1,2.4,72
CASE-001954,Expressway / Highway,Kerala,Kozhikode,134.6,280,256,2,68.6,72.7,85.3,86.6,74.2,73.6,83.1,2,3,1,27,1,21.0,18.0,24.0,3.6,13.8,26.0,8.0,256,134.6,280,1.8,1.2,1374.8,0,0.0,0
CASE-001955,Port Connectivity,Gujarat,Rajkot,364.5,310,342,2,66.6,70.5,68.3,68.6,70.4,52.7,78.5,12,20,3,86,2,37.9,39.2,24.0,6.6,39.9,29.0,9.9,342,364.5,310,2.1,5.8,2145.6,0,0.0,0
CASE-001956,Expressway / Highway,Gujarat,Vadodara,310.9,661,598,5,50.5,43.5,44.4,38.3,38.3,18.8,52.6,19,29,7,295,9,56.0,64.6,36.0,25.8,99.1,50.2,30.1,598,310.9,661,4.9,4.8,1525.5,1,3.7,111
CASE-001957,Expressway / Highway,Telangana,Hyderabad,229.6,335,341,3,45.4,70.6,84.4,78.3,68.4,60.6,79.1,4,4,2,59,2,43.2,47.5,36.0,16.7,38.7,32.0,17.9,341,229.6,335,3.0,1.2,2405.5,0,0.0,0
